medal_type,name,gender,country_code,country,nationality_code,nationality,event,birth_date
Gold Medal,EVENEPOEL Remco,Male,BEL,Belgium,BEL,Belgium,Men's Individual Time Trial,2000-01-25
Silver Medal,GANNA Filippo,Male,ITA,Italy,ITA,Italy,Men's Individual Time Trial,1996-07-25
Bronze Medal,van AERT Wout,Male,BEL,Belgium,BEL,Belgium,Men's Individual Time Trial,1994-09-15
Gold Medal,BROWN Grace,Female,AUS,Australia,AUS,Australia,Women's Individual Time Trial,1992-07-07
Silver Medal,HENDERSON Anna,Female,GBR,Great Britain,GBR,Great Britain,Women's Individual Time Trial,1998-11-14
Bronze Medal,DYGERT Chloe,Female,USA,United States,USA,United States,Women's Individual Time Trial,1997-01-01
Gold Medal,OH Sanguk,Male,KOR,Korea,KOR,Korea,Men's Sabre Individual,1996-09-30
Silver Medal,FERJANI Fares,Male,TUN,Tunisia,TUN,Tunisia,Men's Sabre Individual,1997-07-22
Bronze Medal,SAMELE Luigi,Male,ITA,Italy,ITA,Italy,Men's Sabre Individual,1987-07-25
Gold Medal,KONG Man Wai Vivian,Female,HKG,"Hong Kong, China",HKG,"Hong Kong, China",Women's Épée Individual,1994-02-08
Silver Medal,MALLO-BRETON Auriane,Female,FRA,France,FRA,France,Women's Épée Individual,1993-10-11
Bronze Medal,MUHARI Eszter,Female,HUN,Hungary,HUN,Hungary,Women's Épée Individual,2002-09-30
Gold Medal,SMETOV Yeldos,Male,KAZ,Kazakhstan,KAZ,Kazakhstan,Men -60 kg,1992-09-09
Silver Medal,MKHEIDZE Luka,Male,FRA,France,FRA,France,Men -60 kg,1996-01-05
Bronze Medal,NAGAYAMA Ryuju,Male,JPN,Japan,JPN,Japan,Men -60 kg,1996-04-15
Bronze Medal,GARRIGOS Francisco,Male,ESP,Spain,ESP,Spain,Men -60 kg,1994-12-09
Gold Medal,TSUNODA Natsumi,Female,JPN,Japan,JPN,Japan,Women -48 kg,1992-08-06
Silver Medal,BAVUUDORJ Baasankhuu,Female,MGL,Mongolia,MGL,Mongolia,Women -48 kg,1999-11-26
Bronze Medal,BOUKLI Shirine,Female,FRA,France,FRA,France,Women -48 kg,1999-01-24
Bronze Medal,BABULFATH Tara,Female,SWE,Sweden,SWE,Sweden,Women -48 kg,2006-01-03
Gold Medal,MAERTENS Lukas,Male,GER,Germany,GER,Germany,Men's 400m Freestyle,2001-12-27
Silver Medal,WINNINGTON Elijah,Male,AUS,Australia,AUS,Australia,Men's 400m Freestyle,2000-05-05
Bronze Medal,KIM Woomin,Male,KOR,Korea,KOR,Korea,Men's 400m Freestyle,2001-08-24
Gold Medal,TITMUS Ariarne,Female,AUS,Australia,AUS,Australia,Women's 400m Freestyle,2000-09-07
Silver Medal,McINTOSH Summer,Female,CAN,Canada,CAN,Canada,Women's 400m Freestyle,2006-08-18
Bronze Medal,LEDECKY Katie,Female,USA,United States,USA,United States,Women's 400m Freestyle,1997-03-17
Gold Medal,FOX Jessica,Female,AUS,Australia,AUS,Australia,Women's Kayak Single,1994-06-11
Silver Medal,ZWOLINSKA Klaudia,Female,POL,Poland,POL,Poland,Women's Kayak Single,1998-12-18
Bronze Medal,WOODS Kimberley,Female,GBR,Great Britain,GBR,Great Britain,Women's Kayak Single,1995-09-08
Gold Medal,FERRAND PREVOT Pauline,Female,FRA,France,FRA,France,Women's Cross-country,1992-02-10
Silver Medal,BATTEN Haley,Female,USA,United States,USA,United States,Women's Cross-country,1998-09-19
Bronze Medal,RISSVEDS Jenny,Female,SWE,Sweden,SWE,Sweden,Women's Cross-country,1994-06-06
Gold Medal,KANO Koki,Male,JPN,Japan,JPN,Japan,Men's Épée Individual,1997-12-19
Silver Medal,BOREL Yannick,Male,FRA,France,FRA,France,Men's Épée Individual,1988-11-05
Bronze Medal,ELSAYED Mohamed,Male,EGY,Egypt,EGY,Egypt,Men's Épée Individual,2003-03-03
Gold Medal,KIEFER Lee,Female,USA,United States,USA,United States,Women's Foil Individual,1994-06-15
Silver Medal,SCRUGGS Lauren,Female,USA,United States,USA,United States,Women's Foil Individual,2003-01-27
Bronze Medal,HARVEY Eleanor,Female,CAN,Canada,CAN,Canada,Women's Foil Individual,1995-01-14
Gold Medal,ABE Hifumi,Male,JPN,Japan,JPN,Japan,Men -66 kg,1997-08-09
Silver Medal,LIMA Willian,Male,BRA,Brazil,BRA,Brazil,Men -66 kg,2000-01-31
Bronze Medal,KYRGYZBAYEV Gusman,Male,KAZ,Kazakhstan,KAZ,Kazakhstan,Men -66 kg,1992-09-28
Bronze Medal,VIERU Denis,Male,MDA,Republic of Moldova,MDA,Republic of Moldova,Men -66 kg,1996-03-10
Gold Medal,KELDIYOROVA Diyora,Female,UZB,Uzbekistan,UZB,Uzbekistan,Women -52 kg,1998-07-13
Silver Medal,KRASNIQI Distria,Female,KOS,Kosovo,KOS,Kosovo,Women -52 kg,1995-12-10
Bronze Medal,PIMENTA Larissa,Female,BRA,Brazil,BRA,Brazil,Women -52 kg,1999-03-01
Bronze Medal,BUCHARD Amandine,Female,FRA,France,FRA,France,Women -52 kg,1995-07-12
Gold Medal,XIE Yu,Male,CHN,China,CHN,China,10m Air Pistol Men,2000-06-12
Silver Medal,MALDINI Federico Nilo,Male,ITA,Italy,ITA,Italy,10m Air Pistol Men,2001-03-28
Bronze Medal,MONNA Paolo,Male,ITA,Italy,ITA,Italy,10m Air Pistol Men,1998-04-19
Gold Medal,OH Ye Jin,Female,KOR,Korea,KOR,Korea,10m Air Pistol Women,2005-05-10
Silver Medal,KIM Yeji,Female,KOR,Korea,KOR,Korea,10m Air Pistol Women,1992-09-04
Bronze Medal,BHAKER Manu,Female,IND,India,IND,India,10m Air Pistol Women,2002-02-18
Gold Medal,YOSHIZAWA Coco,Female,JPN,Japan,JPN,Japan,Women's Street,2009-09-22
Silver Medal,AKAMA Liz,Female,JPN,Japan,JPN,Japan,Women's Street,2009-01-08
Bronze Medal,LEAL Rayssa,Female,BRA,Brazil,BRA,Brazil,Women's Street,2008-01-04
Gold Medal,MARTINENGHI Nicolo,Male,ITA,Italy,ITA,Italy,Men's 100m Breaststroke,1999-08-01
Silver Medal,PEATY Adam,Male,GBR,Great Britain,GBR,Great Britain,Men's 100m Breaststroke,1994-12-28
Silver Medal,FINK Nic,Male,USA,United States,USA,United States,Men's 100m Breaststroke,1993-07-03
Gold Medal,MARCHAND Leon,Male,FRA,France,FRA,France,Men's 400m Individual Medley,2002-05-17
Silver Medal,MATSUSHITA Tomoyuki,Male,JPN,Japan,JPN,Japan,Men's 400m Individual Medley,2005-08-01
Bronze Medal,FOSTER Carson,Male,USA,United States,USA,United States,Men's 400m Individual Medley,2001-10-26
Gold Medal,HUSKE Torri,Female,USA,United States,USA,United States,Women's 100m Butterfly,2002-12-07
Silver Medal,WALSH Gretchen,Female,USA,United States,USA,United States,Women's 100m Butterfly,2003-01-29
Bronze Medal,ZHANG Yufei,Female,CHN,China,CHN,China,Women's 100m Butterfly,1998-04-19
Gold Medal,GESTIN Nicolas,Male,FRA,France,FRA,France,Men's Canoe Single,2000-03-14
Silver Medal,BURGESS Adam,Male,GBR,Great Britain,GBR,Great Britain,Men's Canoe Single,1992-07-17
Bronze Medal,BENUS Matej,Male,SVK,Slovakia,SVK,Slovakia,Men's Canoe Single,1987-11-02
Gold Medal,PIDCOCK Thomas,Male,GBR,Great Britain,GBR,Great Britain,Men's Cross-country,1999-07-30
Silver Medal,KORETZKY Victor,Male,FRA,France,FRA,France,Men's Cross-country,1994-08-26
Bronze Medal,HATHERLY Alan,Male,RSA,South Africa,RSA,South Africa,Men's Cross-country,1996-03-15
Gold Medal,JUNG Michael,Male,GER,Germany,GER,Germany,Eventing Individual,1982-07-31
Silver Medal,BURTON Christopher,Male,AUS,Australia,AUS,Australia,Eventing Individual,1981-11-22
Bronze Medal,COLLETT Laura,Female,GBR,Great Britain,GBR,Great Britain,Eventing Individual,1989-08-31
Gold Medal,CHEUNG Ka Long,Male,HKG,"Hong Kong, China",HKG,"Hong Kong, China",Men's Foil Individual,1997-06-10
Silver Medal,MACCHI Filippo,Male,ITA,Italy,ITA,Italy,Men's Foil Individual,2001-09-19
Bronze Medal,ITKIN Nick,Male,USA,United States,USA,United States,Men's Foil Individual,1999-10-09
Gold Medal,APITHY-BRUNET Manon,Female,FRA,France,FRA,France,Women's Sabre Individual,1996-02-07
Silver Medal,BALZER Sara,Female,FRA,France,FRA,France,Women's Sabre Individual,1995-04-03
Bronze Medal,KHARLAN Olga,Female,UKR,Ukraine,UKR,Ukraine,Women's Sabre Individual,1990-09-04
Gold Medal,HEYDAROV Hidayat,Male,AZE,Azerbaijan,AZE,Azerbaijan,Men -73 kg,1997-07-27
Silver Medal,GABA Joan-Benjamin,Male,FRA,France,FRA,France,Men -73 kg,2001-01-07
Bronze Medal,OSMANOV Adil,Male,MDA,Republic of Moldova,MDA,Republic of Moldova,Men -73 kg,2000-07-02
Bronze Medal,HASHIMOTO Soichi,Male,JPN,Japan,JPN,Japan,Men -73 kg,1991-08-24
Gold Medal,DEGUCHI Christa,Female,CAN,Canada,CAN,Canada,Women -57 kg,1995-10-29
Silver Medal,HUH Mimi,Female,KOR,Korea,KOR,Korea,Women -57 kg,2002-12-19
Bronze Medal,FUNAKUBO Haruka,Female,JPN,Japan,JPN,Japan,Women -57 kg,1998-10-10
Bronze Medal,CYSIQUE Sarah Leonie,Female,FRA,France,FRA,France,Women -57 kg,1998-07-06
Gold Medal,SHENG Lihao,Male,CHN,China,CHN,China,10m Air Rifle Men,2004-12-04
Silver Medal,LINDGREN Victor,Male,SWE,Sweden,SWE,Sweden,10m Air Rifle Men,2003-05-16
Bronze Medal,MARICIC Miran,Male,CRO,Croatia,CRO,Croatia,10m Air Rifle Men,1997-06-17
Gold Medal,BAN Hyojin,Female,KOR,Korea,KOR,Korea,10m Air Rifle Women,2007-09-20
Silver Medal,HUANG Yuting,Female,CHN,China,CHN,China,10m Air Rifle Women,2006-09-03
Bronze Medal,GOGNIAT Audrey,Female,SUI,Switzerland,SUI,Switzerland,10m Air Rifle Women,2002-10-30
Gold Medal,HORIGOME Yuto,Male,JPN,Japan,JPN,Japan,Men's Street,1999-01-07
Silver Medal,EATON Jagger,Male,USA,United States,USA,United States,Men's Street,2001-02-21
Bronze Medal,HUSTON Nyjah,Male,USA,United States,USA,United States,Men's Street,1994-11-30
Gold Medal,CECCON Thomas,Male,ITA,Italy,ITA,Italy,Men's 100m Backstroke,2001-01-27
Silver Medal,XU Jiayu,Male,CHN,China,CHN,China,Men's 100m Backstroke,1995-08-19
Bronze Medal,MURPHY Ryan,Male,USA,United States,USA,United States,Men's 100m Backstroke,1995-07-02
Gold Medal,POPOVICI David,Male,ROU,Romania,ROU,Romania,Men's 200m Freestyle,2004-09-15
Silver Medal,RICHARDS Matthew,Male,GBR,Great Britain,GBR,Great Britain,Men's 200m Freestyle,2002-12-17
Bronze Medal,HOBSON Luke,Male,USA,United States,USA,United States,Men's 200m Freestyle,2003-06-25
Gold Medal,SMITH Tatjana,Female,RSA,South Africa,RSA,South Africa,Women's 100m Breaststroke,1997-07-09
Silver Medal,TANG Qianting,Female,CHN,China,CHN,China,Women's 100m Breaststroke,2004-03-14
Bronze Medal,Mc SHARRY Mona,Female,IRL,Ireland,IRL,Ireland,Women's 100m Breaststroke,2000-08-21
Gold Medal,O'CALLAGHAN Mollie,Female,AUS,Australia,AUS,Australia,Women's 200m Freestyle,2004-04-02
Silver Medal,TITMUS Ariarne,Female,AUS,Australia,AUS,Australia,Women's 200m Freestyle,2000-09-07
Bronze Medal,HAUGHEY Siobhan Bernadette,Female,HKG,"Hong Kong, China",HKG,"Hong Kong, China",Women's 200m Freestyle,1997-10-31
Gold Medal,McINTOSH Summer,Female,CAN,Canada,CAN,Canada,Women's 400m Individual Medley,2006-08-18
Silver Medal,GRIMES Katie,Female,USA,United States,USA,United States,Women's 400m Individual Medley,2006-01-08
Bronze Medal,WEYANT Emma,Female,USA,United States,USA,United States,Women's 400m Individual Medley,2001-12-24
Gold Medal,NAGASE Takanori,Male,JPN,Japan,JPN,Japan,Men -81 kg,1993-10-14
Silver Medal,GRIGALASHVILI Tato,Male,GEO,Georgia,GEO,Georgia,Men -81 kg,1999-12-01
Bronze Medal,LEE Joonhwan,Male,KOR,Korea,KOR,Korea,Men -81 kg,2002-06-19
Bronze Medal,MAKHMADBEKOV Somon,Male,TJK,Tajikistan,TJK,Tajikistan,Men -81 kg,1999-03-24
Gold Medal,LESKI Andreja,Female,SLO,Slovenia,SLO,Slovenia,Women -63 kg,1997-01-08
Silver Medal,AWITI ALCARAZ Prisca,Female,MEX,Mexico,MEX,Mexico,Women -63 kg,1996-02-20
Bronze Medal,AGBEGNENOU Clarisse,Female,FRA,France,FRA,France,Women -63 kg,1992-10-25
Bronze Medal,FAZLIU Laura,Female,KOS,Kosovo,KOS,Kosovo,Women -63 kg,2000-09-28
Gold Medal,HALES Nathan,Male,GBR,Great Britain,GBR,Great Britain,Trap Men,1996-06-16
Silver Medal,QI Ying,Male,CHN,China,CHN,China,Trap Men,1997-01-23
Bronze Medal,BROL CARDENAS Jean Pierre,Male,GUA,Guatemala,GUA,Guatemala,Trap Men,1982-12-18
Gold Medal,WIFFEN Daniel,Male,IRL,Ireland,IRL,Ireland,Men's 800m Freestyle,2001-07-14
Silver Medal,FINKE Bobby,Male,USA,United States,USA,United States,Men's 800m Freestyle,1999-11-06
Bronze Medal,PALTRINIERI Gregorio,Male,ITA,Italy,ITA,Italy,Men's 800m Freestyle,1994-09-05
